PLAYER,TEAM,POSITION,MINUTES,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total
Wendell Carter Jr.,Magic,C,1690 ,-1.3 ,1.2 ,-0.1 ,-0.5 ,1.9 ,1.4 ,-1.2 ,1.5 ,0.2 ,2.6 
Pat Connaughton,Bucks,"SG, SF",1531 ,-0.3 ,1.2 ,0.9 ,-0.2 ,-0.5 ,-0.7 ,-0.3 ,0.9 ,0.6 ,2.6 
Kyle Kuzma,Wizards,"SF, PF",2239 ,-1.0 ,0.0 ,-1.0 ,-0.8 ,2.4 ,1.6 ,-1.0 ,0.5 ,-0.5 ,2.6 
Jusuf Nurkic,Trail Blazers,C,1391 ,-1.2 ,2.1 ,0.9 ,-0.4 ,0.9 ,0.6 ,-1.1 ,2.0 ,0.9 ,2.6 
Isaac Okoro,Cavaliers,"SG, SF",1727 ,-1.0 ,1.4 ,0.4 ,-0.3 ,-0.3 ,-0.7 ,-0.9 ,1.1 ,0.2 ,2.6 
Dwight Powell,Mavericks,C,1458 ,-1.7 ,1.2 ,-0.5 ,4.7 ,0.5 ,5.2 ,-0.5 ,1.2 ,0.7 ,2.6 
Gary Trent Jr.,Raptors,"SG, SF",2118 ,1.1 ,-0.6 ,0.5 ,-2.7 ,-0.8 ,-3.5 ,0.4 ,-0.7 ,-0.3 ,2.6 
Terance Mann,Clippers,"PG, SG, SF",2005 ,-0.2 ,-0.6 ,-0.8 ,2.1 ,-0.5 ,1.6 ,0.3 ,-0.6 ,-0.3 ,2.5 
Nicolas Batum,Clippers,"SG, SF, PF",1801 ,-1.0 ,0.2 ,-0.7 ,0.5 ,1.9 ,2.4 ,-0.7 ,0.6 ,-0.1 ,2.4 
Davion Mitchell,Kings,PG,1587 ,-2.0 ,2.2 ,0.1 ,-1.9 ,2.5 ,0.6 ,-2.2 ,2.4 ,0.2 ,2.4 
Xavier Tillman,Grizzlies,PF,1363 ,-1.0 ,1.9 ,0.9 ,-1.1 ,0.7 ,-0.4 ,-1.1 ,1.7 ,0.6 ,2.4 
Saddiq Bey,Hawks,"SF, PF",2262 ,1.4 ,-2.4 ,-1.0 ,2.4 ,-2.1 ,0.2 ,1.7 ,-2.5 ,-0.8 ,2.3 
Daniel Gafford,Wizards,C,1604 ,0.4 ,0.0 ,0.4 ,0.1 ,-1.7 ,-1.6 ,0.4 ,-0.4 ,0.0 ,2.3 
Anthony Lamb,Warriors,"SF, PF",1226 ,-1.0 ,2.3 ,1.3 ,-1.3 ,0.6 ,-0.7 ,-1.1 ,2.1 ,1.0 ,2.3 
Kelly Oubre Jr.,Hornets,SF,1548 ,0.2 ,0.5 ,0.8 ,-2.2 ,-0.7 ,-2.9 ,-0.2 ,0.3 ,0.2 ,2.3 
Dennis Schroder,Lakers,"PG, SG",2403 ,-0.9 ,-0.4 ,-1.3 ,0.5 ,0.7 ,1.3 ,-0.7 ,-0.2 ,-0.9 ,2.3 
Dennis Smith Jr.,Hornets,PG,1390 ,-2.3 ,2.3 ,0.0 ,-5.3 ,7.1 ,1.8 ,-3.0 ,3.5 ,0.4 ,2.3 
Jordan Clarkson,Jazz,"PG, SG",1988 ,2.1 ,-2.8 ,-0.7 ,2.1 ,-1.9 ,0.2 ,2.2 ,-2.8 ,-0.5 ,2.2 
Zach Collins,Spurs,"PF, C",1441 ,-1.7 ,1.5 ,-0.2 ,-0.5 ,1.5 ,1.0 ,-1.5 ,1.7 ,0.2 ,2.2 
Dorian Finney-Smith,Nets,"SF, PF",2110 ,-2.6 ,1.5 ,-1.1 ,0.2 ,0.5 ,0.6 ,-2.2 ,1.4 ,-0.8 ,2.2 
Myles Turner,Pacers,C,1825 ,-0.9 ,-0.2 ,-1.0 ,2.6 ,-0.2 ,2.3 ,-0.2 ,-0.2 ,-0.3 ,2.2 
Josh Green,Mavericks,"SG, SF",1539 ,-1.4 ,0.7 ,-0.7 ,0.6 ,2.1 ,2.6 ,-1.1 ,1.0 ,-0.1 ,2.1 
Christian Wood,Mavericks,"PF, C",1738 ,0.4 ,-0.2 ,0.2 ,0.2 ,-3.0 ,-2.9 ,0.3 ,-0.8 ,-0.4 ,2.1 
Chris Boucher,Raptors,"SF, PF",1523 ,0.5 ,0.1 ,0.6 ,-3.1 ,0.3 ,-2.8 ,-0.3 ,0.1 ,-0.1 ,2.0 
Markelle Fultz,Magic,"PG, SG",1778 ,-0.2 ,-0.1 ,-0.3 ,-0.8 ,-1.4 ,-2.2 ,-0.3 ,-0.4 ,-0.7 ,1.9 
Jalen McDaniels,76ers,"SF, PF",2015 ,-1.9 ,0.5 ,-1.3 ,0.9 ,0.0 ,0.9 ,-1.4 ,0.5 ,-0.9 ,1.9 
Keegan Murray,Kings,"SF, PF",2576 ,-0.7 ,-0.7 ,-1.5 ,1.8 ,-1.9 ,-0.2 ,-0.3 ,-1.0 ,-1.3 ,1.9 
Nikola Vucevic,Bulls,C,2746 ,-0.9 ,0.1 ,-0.8 ,0.2 ,-3.2 ,-3.0 ,-0.7 ,-0.7 ,-1.4 ,1.9 
Deni Avdija,Wizards,SF,2020 ,-1.9 ,1.0 ,-1.0 ,-0.6 ,-0.2 ,-0.8 ,-1.8 ,0.8 ,-1.0 ,1.8 
AJ Griffin,Hawks,SF,1401 ,0.1 ,-1.1 ,-1.0 ,1.5 ,1.5 ,3.0 ,0.4 ,-0.6 ,-0.2 ,1.8 
Damion Lee,Suns,"SG, SF",1595 ,-0.9 ,0.0 ,-0.9 ,-2.2 ,3.3 ,1.1 ,-1.2 ,0.7 ,-0.5 ,1.8 
Bobby Portis,Bucks,"PF, C",1925 ,0.1 ,-0.3 ,-0.2 ,-0.4 ,-2.9 ,-3.4 ,0.0 ,-0.9 ,-0.9 ,1.8 
Matisse Thybulle,Trail Blazers,"SG, SF",1200 ,-2.0 ,2.0 ,0.0 ,-2.4 ,3.4 ,1.0 ,-2.3 ,2.5 ,0.2 ,1.8 
Troy Brown Jr.,Lakers,"SG, SF",1984 ,-1.7 ,1.0 ,-0.6 ,-1.1 ,-1.5 ,-2.6 ,-1.6 ,0.6 ,-1.1 ,1.7 
Jalen Green,Rockets,SG,2602 ,1.3 ,-2.9 ,-1.6 ,1.3 ,-2.4 ,-1.2 ,1.5 ,-2.9 ,-1.4 ,1.7 
Grant Williams,Celtics,"SF, PF",2310 ,-0.7 ,-0.8 ,-1.5 ,-0.1 ,0.4 ,0.3 ,-0.6 ,-0.7 ,-1.3 ,1.7 
Devin Vassell,Spurs,"SG, SF",1178 ,1.0 ,-0.3 ,0.7 ,-2.4 ,-1.3 ,-3.7 ,0.4 ,-0.5 ,-0.1 ,1.6 
Devonte' Graham,Spurs,PG,1338 ,1.5 ,-1.4 ,0.1 ,-3.3 ,0.1 ,-3.2 ,0.7 ,-1.2 ,-0.5 ,1.5 
Trey Lyles,Kings,PF,1365 ,-0.1 ,-0.9 ,-1.1 ,0.4 ,1.3 ,1.7 ,-0.1 ,-0.5 ,-0.6 ,1.5 
Karl-Anthony Towns,Timberwolves,"PF, C",1137 ,0.2 ,0.6 ,0.8 ,-3.4 ,-0.4 ,-3.8 ,-0.5 ,0.4 ,-0.1 ,1.5 
Russell Westbrook,Clippers,"PG, SG",2318 ,0.5 ,-2.1 ,-1.6 ,1.0 ,-1.9 ,-0.9 ,0.6 ,-2.2 ,-1.5 ,1.5 
